ID,RA,Dec,H2O_N,H2O_N_err_lower,H2O_N_err_upper,CO2_N,CO2_N_err_lower,CO2_N_err_upper,CO_N,CO_N_err_lower,CO_N_err_upper,H2_N,CO2/H2O,CO/H2O,CO2/CO
8,166.541231,-77.41721766,4.9,0.182,0.518,0.71,0.0084,0.0256,0.829,0.252,0.743,2.496782507820001,0.14489795918367346,0.16918367346938773,0.856453558504222
13,166.5279758,-77.41515446,4.63,0.172,0.489,0.989,0.00961,0.0287,0.793,0.134,0.393,1.8045508478999994,0.21360691144708424,0.17127429805615552,1.2471626733921815
16,166.5369682,-77.41403725,5.58,0.207,0.589,1.05,0.00773,0.0233,1.15,0.102,0.302,2.033966393160003,0.1881720430107527,0.20609318996415768,0.9130434782608696
23,166.5438133,-77.41257258,6.65,0.247,0.702,0.742,0.0177,0.0527,-0.957,1.37,3.75,2.6302094089799994,0.11157894736842104,-0.1439097744360902,-0.7753396029258098
28,166.5833311,-77.40955603,7.78,0.194,0.616,1.76,0.0113,0.0339,3.32,0.168,0.501,3.441801793859998,0.2262210796915167,0.42673521850899737,0.5301204819277109
30,166.5177449,-77.40858882,5.78,0.214,0.61,0.758,0.0176,0.0527,1.89,0.2,0.59,1.8788411118599997,0.1311418685121107,0.3269896193771626,0.40105820105820106
33,166.5577589,-77.40735749,6.2,0.184,0.586,1.8,0.0104,0.0313,2.02,0.173,0.51,2.6234882835600026,0.2903225806451613,0.3258064516129032,0.8910891089108911
34,166.5257246,-77.40734343,7.1,0.263,0.75,0.9,0.0182,0.0542,1.04,0.294,0.908,2.1788811842399993,0.1267605633802817,0.14647887323943662,0.8653846153846154
36,166.5346773,-77.40576036,5.47,0.203,0.578,0.855,0.00608,0.018,1.64,0.02,0.0572,2.340238885500004,0.1563071297989031,0.29981718464351004,0.5213414634146342
37,166.5679686,-77.40469053,7.59,0.213,0.688,1.87,0.0166,0.0499,2.76,0.0615,0.18,4.325337658500001,0.2463768115942029,0.3636363636363636,0.6775362318840581
38,166.6004763,-77.40448496,7.42,0.296,0.991,1.7,0.00763,0.0227,2.29,0.0615,0.179,4.294613552940002,0.22911051212938005,0.3086253369272237,0.74235807860262
41,166.536048,-77.40375195,4.58,0.0,0.0,0.949,0.0126,0.0377,1.63,0.179,0.531,4.2540049278000005,0.20720524017467248,0.3558951965065502,0.5822085889570552
